Firma,Bundesland,PLZ,Ort,Straße
Ars Medendi,Berlin,13503,Berlin,Henningsdorfer Str. 128
Gesundheits- und Rehasportverein Rheinland-Köln e. V.,Baden-Württemberg,70771,Leinfelden-Echterdingen,Max-Eyth-Straße 13
PTZ Höchst,Hessen,65929,Frankfurt am Main,Königsteiner Str. 80
Ilius / Meister GbR,Berlin,12209,Berlin,Ferdinandstrasse 33
Andreas Glasmacher,Nordrhein-Westfalen,50126,Bergheim,Johann-Ruland-Weg 7
Körperwerk Bielefeld,Nordrhein-Westfalen,33739,Bielefeld,Horstmanns Feld 60
Cimini & Riemenschneider GmbH,Saarland,66663,Merzig,Kieserweg 7
Unfallkrankenhaus Berlin Holding GmbH,Berlin,12683,Berlin,Warener Straße 1
Transworld Hotels Germany GmbH,Nordrhein-Westfalen,53804,Much,Bövingen 129
SPORTFORUM Fürth,Bayern,90762,Fürth,Löwenplatz 4/8
Katholische Hospitalvereinigung Weser-Egge gGmbH,Nordrhein-Westfalen,33034,Brakel,Danziger Str. 17
TheraPäd GmbH,Sachsen,4178,Leipzig,Schönauer Landstraße 6
Contilia Therapie und Reha GmbH,Nordrhein-Westfalen,45127,Essen,Rathenaustraße 2
Physiotherapie Mehlhorn GbR,Sachsen-Anhalt,6682,Teuchern,Borkener Str. 21
Uwe Müller,Sachsen,9514,Lengefeld,Wolkensteiner Str.13
Physiotherapie Leeden,Nordrhein-Westfalen,49545,Tecklenburg,Rosenstr. 3
MSK Fitness GmbH,Rheinland-Pfalz,67752,Wolfstein,Am Schwimmbad 5
KKS Klinikum Stadt Soest Service GmbH,Nordrhein-Westfalen,59494,Soest,Senator-Schwartz-Ring 8
Sankt Elisabeth Hospital gemeinnütz.Fördergesellschaft mbH,Nordrhein-Westfalen,33332,Gütersloh,Stadtring Kattenstroh 130
Kulturunternehmung Eilenburg,Sachsen,4838,Eilenburg,Franz-Mehring-Straße 23
Physiotherapie und Rehazentrum,Nordrhein-Westfalen,37688,Beverungen,Blankenauer Strasse 4
mymedicus,Berlin,14057,Berlin,Lietzenseeufer 11
Gesundheitszentrum Walheim,Nordrhein-Westfalen,52076,Aachen,Prämienstraße 42
Regio Reha GmbH,Schleswig-Holstein,25421,Pinneberg,Fahltskamp 74
Ballettschule-Waldniel,Nordrhein-Westfalen,41366,Schwalmtal,Hühnerkamp 6
Physiowerkstatt GmbH,Nordrhein-Westfalen,47447,Moers,Bahnhofstraße 315
Activiver - Rehabilitationssport,Nordrhein-Westfalen,53340,Meckenheim,Am Wiesenpfad 1
Rehasport Thurm,Brandenburg,14656,Brieselang,Am Markt 12
Physiotherapie van Loh,Nordrhein-Westfalen,48165,Münster,Marktallee 22
PhysioConcept,Nordrhein-Westfalen,33719,Bielefeld,Heeperholz 8
Physioline,Nordrhein-Westfalen,59425,Unna,Hansastr. 78c
Physio-Vital-Zentrum,Nordrhein-Westfalen,32105,Bad Salzuflen,Roonstraße 9-13
PfiPH Carmen Erwes,Nordrhein-Westfalen,57439,Attendorn,Hansastraße 4
Physiotherapie Praxis,Nordrhein-Westfalen,33330,Gütersloh,Chemnitzer Str. 13
Mathias-Spital,Nordrhein-Westfalen,48431,Rheine,Frankenburgstr. 31
Nova Physica Corinna Merkel,Baden-Württemberg,74855,Hassmersheim,Lessingstraße 4
Reha am Ring,Nordrhein-Westfalen,45665,Recklinghausen,August-Schmidt-Ring 9
Physiotherapie Beauty & Wellness Center,Sachsen-Anhalt,39240,Calbe,Hospitalstraße 8
Katrin Dressel,Sachsen,4821,Brandis,Pappelallee 10
VITA MED,Rheinland-Pfalz,56567,Neuwied,Im Bremer 71
Life Medical Sports Club,Nordrhein-Westfalen,58730,Fröndenberg,Harthaer Platz 1
actiwita Vitalstudio,Nordrhein-Westfalen,53340,Meckenheim,Mühlengrabenstraße 27
Pentling Gesundheitszentrum GmbH,Nordrhein-Westfalen,59457,Werl,Allener Str. 35
Auszeit Physiotherapie,Sachsen,1774,Klingenberg,Hauptstraße 5a
Physiotherapie Jung,Nordrhein-Westfalen,57462,Olpe,In der Wüste 1
Kneipp-Bund Landesverband Niedersachsen-Bremen e.V.,Niedersachsen,29221,Celle,Jägerstr. 20a
RMT GmbH,Mecklenburg-Vorpommern,17207,Röbel,Gotthunskamp 14
Kindel & Thienenkamp GbR,Nordrhein-Westfalen,33175,Bad Lippspringe,Detmolder Straße 221-225
DJK TuS Ruhrtal Witten e.V.,Nordrhein-Westfalen,58454,Witten,Kreisstraße 96
Lady-Fitness,Nordrhein-Westfalen,40880,Ratingen,Kaiserswerther Str.67
Physiotherapie Praxis Zuidberg,Nordrhein-Westfalen,47839,Krefeld,St.Huberter Landstraße 12
Rehasport Ayes für Frauen,Nordrhein-Westfalen,47166,Duisburg,Schreckerstr. 16
SAGO GmbH,Baden-Württemberg,78048,Villingen-Schwenningen,Wilhelm-Binder-Str. 15
PK Fit & Gesund - Ihr Gesundheitsstudio,Sachsen,1156,Dresden,Gompitzer Höhe 2
Aktivita Physiotherapie,Nordrhein-Westfalen,33106,Paderborn,Alter Hellweg 49
rehaaktiv-Steinbeck,Nordrhein-Westfalen,49509,Recke,Kirchstraße 21
medicoreha Welsink Rehabilitation GmbH,Nordrhein-Westfalen,50935,Köln,Werthmannstr. 1c
Kmiecik & Klotz GbR,Rheinland-Pfalz,53424,Remagen,Sinziger Str. 29
Physiotherapie Wenholthausen,Nordrhein-Westfalen,59889,Eslohe,Südstr. 41
Kur-und Touristikunternehmen der Stadt Bad Salzungen AöR,Thüringen,36433,Bad Salzungen,Am Flösrasen 1
Therapiezentrum BEER,Thüringen,4617,Rositz,Am Wasserturm 2
Physio Point,Nordrhein-Westfalen,37671,Höxter,An der Kilianikirche 8
PAT Club & Gesundheitscenter,Nordrhein-Westfalen,33607,Bielefeld,Bleichstraße 134
Rehasport Ückendorf,Nordrhein-Westfalen,45886,Gelsenkirchen,Osterfeldstraße 14
iQ - Fitness im Quartier,Baden-Württemberg,77871,Renchen,Teichmatt 7a
der sport- und rehaverein im gesundheitszentrum in bad waldliesborn e.v.,Nordrhein-Westfalen,59556,Lippstadt,Quellenstr. 60
Praxis für Physiotherapie Andreas R. Dörfer,Thüringen,7318,Saalfeld,Grüne Mitte 17
Vip 'n' Fit Zentrum für Frauenfitness und Gesundheitssport,Berlin,13595,Berlin,Pichelsdorfer Str. 31
Sportcentrum Berghausen GmbH & Co.KG,Nordrhein-Westfalen,40764,Langenfeld,Baumberger Straße 89
Zentrum für ambulante Physiotherapie,Sachsen-Anhalt,6484,Quedlinburg,Bahnhofstraße 15
Schlaubetzraining Frankfurt(Oder) GmbH,Brandenburg,15234,Frankfurt (Oder),Goetherstrasse 9A
Gesundheit bewegt GmbH,Nordrhein-Westfalen,47918,Tönisvorst,Maysweg 10h
Physiotherapie Esther Kocsis,Berlin,10627,Berlin,Wilmersdorfer Str. 54
"Gesellschaft für Prävention, Therapie und Förderung der Gesundheit GbR",Sachsen-Anhalt,38820,Halberstadt,Bismarckstr. 63
KiB mobil GmbH - Praxis für Mototherapie u.,Nordrhein-Westfalen,48249,Dülmen,Am Schloss 1
G.O.T. GmbH + Co. KG,Nordrhein-Westfalen,50737,Köln,Neusser Str. 725
Praxis für Physiotherapie Schottkowski,Rheinland-Pfalz,56218,Mülheim-Kärlich,Gebrüder-Pauken-Straße 15a
AlbPhysio GbR,Baden-Württemberg,72525,Münsingen,Wolfgartenstraße 43
M&S Sportanlagen GmbH,Nordrhein-Westfalen,45731,Waltrop,Leveringhäuser Str. 136
Aktiva,Rheinland-Pfalz,67714,Waldfischbach-Burgalben,Schillerstr. 1
treibgut - Sport und Wohlbefinden,Nordrhein-Westfalen,48268,Greven,Saerbecker Straße 141
Möve Rehazentrum,Nordrhein-Westfalen,44339,Dortmund,Minister-Stein-Allee 2
Physiotherapie im aqua-vitalis,Nordrhein-Westfalen,48145,Münster,Andreas-Hofer-Str. 72-76
Ambulantes Rehabilitations- und Therapiezentrum,Nordrhein-Westfalen,44141,Dortmund,Feldstraße 77
"Freizeit-, Gesundheits- und Breitensportverein Dorsten-Wulfen 2018 e.V.",Nordrhein-Westfalen,46286,Dorsten,Wulfener Markt 5
Aktivo Training & Reha GmbH,Nordrhein-Westfalen,51143,Köln,Houdainer Str. 2-4
Physiofit-Ruhrtal,Nordrhein-Westfalen,58640,Iserlohn,Leckingser Strasse 201
myoloft Fitnessclub,Baden-Württemberg,76448,Durmersheim,Malscher Str. 18
